participant,group,frequency,item,response
p15,hs,f,f2,1
p15,hs,f,f3,1
p15,hs,f,f4,1
p15,hs,f,f5,1
p15,hs,f,f6,1
p15,hs,f,f7,0
p15,hs,f,f8,0
p15,hs,u,u1,0
p15,hs,u,u2,1
p15,hs,u,u3,1
p15,hs,u,u4,1
p15,hs,u,u5,1
p15,hs,u,u6,1
p15,hs,u,u7,0
p15,hs,u,u8,0
p16,co,f,f1,1
p16,co,f,f2,1
p16,co,f,f3,1
p16,co,f,f4,1
p16,co,f,f5,1
p16,co,f,f6,1
p16,co,f,f7,1
p16,co,f,f8,1
p16,co,u,u1,1
p16,co,u,u2,1
p16,co,u,u3,1
p16,co,u,u4,1
p16,co,u,u5,1
p16,co,u,u6,1
p16,co,u,u7,1
p16,co,u,u8,1
p17,co,f,f1,1
p17,co,f,f2,1
p17,co,f,f3,1
p17,co,f,f4,1
p17,co,f,f5,1
p17,co,f,f6,1
p17,co,f,f7,1
p17,co,f,f8,1
p17,co,u,u1,1
p17,co,u,u2,1
p17,co,u,u3,1
p17,co,u,u4,1
p17,co,u,u5,1
p17,co,u,u6,1
p17,co,u,u7,1
p17,co,u,u8,1
p18,co,f,f1,1
p18,co,f,f2,1
p18,co,f,f3,1
p18,co,f,f4,1
p18,co,f,f5,1
p18,co,f,f6,1
p18,co,f,f7,1
p18,co,f,f8,1
p18,co,u,u1,1
p18,co,u,u2,1
p18,co,u,u3,1
p18,co,u,u4,1
p18,co,u,u5,1
p18,co,u,u6,1
p18,co,u,u7,1
p18,co,u,u8,1
p19,co,f,f1,1
p19,co,f,f2,1
p19,co,f,f3,1
p19,co,f,f4,1
p19,co,f,f5,1
p19,co,f,f6,1
p19,co,f,f7,1
p19,co,f,f8,1
p19,co,u,u1,1
p19,co,u,u2,1
p19,co,u,u3,1
p19,co,u,u4,1
p19,co,u,u5,1
p19,co,u,u6,1
p19,co,u,u7,1
p19,co,u,u8,1
p20,co,f,f1,1
p20,co,f,f2,1
p20,co,f,f3,1
p20,co,f,f4,1
p20,co,f,f5,1
p20,co,f,f6,1
p20,co,f,f7,1
p20,co,f,f8,1
p20,co,u,u1,1
p20,co,u,u2,1
p20,co,u,u3,1
p20,co,u,u4,1
p20,co,u,u5,1
p20,co,u,u6,1
p20,co,u,u7,1
p20,co,u,u8,1
p21,co,f,f1,1
p21,co,f,f2,1
p21,co,f,f3,1
p21,co,f,f4,1
p21,co,f,f5,1
p21,co,f,f6,1
p21,co,f,f7,1
p21,co,f,f8,1
p21,co,u,u1,1
p21,co,u,u2,1
p21,co,u,u3,1
p21,co,u,u4,1
p21,co,u,u5,1
p21,co,u,u6,1
p21,co,u,u7,1
p21,co,u,u8,1
p22,co,f,f1,1
p22,co,f,f2,1
p22,co,f,f3,1
p22,co,f,f4,1
p22,co,f,f5,1
p22,co,f,f6,1
p22,co,f,f7,1
p22,co,f,f8,1
p22,co,u,u1,1
p22,co,u,u2,1
p22,co,u,u3,1
p22,co,u,u4,1
p22,co,u,u5,1
p22,co,u,u6,1
p22,co,u,u7,1
p22,co,u,u8,1
p23,co,f,f1,1
p23,co,f,f2,1
p23,co,f,f3,1
p23,co,f,f4,1
p23,co,f,f5,1
p23,co,f,f6,1
p23,co,f,f7,1
p23,co,f,f8,1
p23,co,u,u1,1
p23,co,u,u2,1
p23,co,u,u3,1
p23,co,u,u4,1
p23,co,u,u5,1
p23,co,u,u6,1
p23,co,u,u7,1
p23,co,u,u8,1
p24,co,f,f1,1
p24,co,f,f2,1
p24,co,f,f3,1
p24,co,f,f4,1
p24,co,f,f5,1
p24,co,f,f6,1
p24,co,f,f7,1
p24,co,f,f8,1
p24,co,u,u1,1
p24,co,u,u2,1
p24,co,u,u3,1
p24,co,u,u4,1
p24,co,u,u5,1
p24,co,u,u6,1
p24,co,u,u7,1
p24,co,u,u8,1
p25,co,f,f1,1
p25,co,f,f2,1
p25,co,f,f3,1
p25,co,f,f4,1
p25,co,f,f5,1
p25,co,f,f6,1
p25,co,f,f7,1
p25,co,f,f8,1
p25,co,u,u1,1
p25,co,u,u2,1
p25,co,u,u3,1
p25,co,u,u4,1
p25,co,u,u5,1
p25,co,u,u6,1
p25,co,u,u7,1
p25,co,u,u8,1
p26,co,f,f1,1
p26,co,f,f2,1
p26,co,f,f3,1
p26,co,f,f4,1
p26,co,f,f5,1
p26,co,f,f6,1
p26,co,f,f7,1
p26,co,f,f8,1
p26,co,u,u1,1
p26,co,u,u2,1
p26,co,u,u3,1
p26,co,u,u4,1
p26,co,u,u5,1
p26,co,u,u6,1
p26,co,u,u7,1
p26,co,u,u8,1
p27,co,f,f1,1
p27,co,f,f2,1
p27,co,f,f3,1
p27,co,f,f4,1
p27,co,f,f5,1
p27,co,f,f6,1
p27,co,f,f7,1
p27,co,f,f8,1
p27,co,u,u1,1
p27,co,u,u2,1
p27,co,u,u3,1
p27,co,u,u4,1
p27,co,u,u5,1
p27,co,u,u6,1
p27,co,u,u7,1
p27,co,u,u8,1
p28,co,f,f1,1
p28,co,f,f2,1
p28,co,f,f3,1
p28,co,f,f4,1
p28,co,f,f5,1
p28,co,f,f6,1
p28,co,f,f7,1
p28,co,f,f8,1
p28,co,u,u1,1
p28,co,u,u2,1
p28,co,u,u3,1
p28,co,u,u4,1
p28,co,u,u5,1
p28,co,u,u6,1
p28,co,u,u7,1
p28,co,u,u8,1
p29,co,f,f1,1
p29,co,f,f2,1
p29,co,f,f3,1
p29,co,f,f4,1
p29,co,f,f5,1
p29,co,f,f6,1
p29,co,f,f7,1
p29,co,f,f8,1
p29,co,u,u1,1
p29,co,u,u2,1
p29,co,u,u3,1
p29,co,u,u4,1
p29,co,u,u5,1
p29,co,u,u6,1
p29,co,u,u7,1
p29,co,u,u8,1
p30,co,f,f1,1
p30,co,f,f2,0
p30,co,f,f3,1
p30,co,f,f4,1
p30,co,f,f5,1
p30,co,f,f6,1
p30,co,f,f7,1
p30,co,f,f8,1
p30,co,u,u1,1
p30,co,u,u2,1
p30,co,u,u3,1
p30,co,u,u4,1
p30,co,u,u5,1
p30,co,u,u6,1
p30,co,u,u7,1
p30,co,u,u8,1
